Q9FHH5	GDU3
Q9LMT9	WAKL13
Q05046	CPN60-2
P23312	NIA
Q4PIP8	PNS1
Q86HV8	ctnC
P51907	Slc1a1
Q8L7C2	CFM2
F4IYM4	DEX1
Q0DK10	RPL11
Q9UUC8	mrpl51
F4JTN2	LAZ1
F4IJK1	NET2D
Q9LQV2	RDR1
Q9LK16	AMT1-5
Q9FPT1	UBP12
Q94C11	At3g52120
P49361	GDCSPA
P0CV52	RXLR124
Q4V339	ZNG1F
Q9LEW8	At3g61080
Q9XX15	Y39A1A.14
Q6Z2X6	Os02g0139700
A1EA08	psaA
Q5XET5	HESO1
Q28Y14	GA14866
P17570	NIA
O80695	DTX37
O65695	SAUR50
Q7XJK6	AGL36
Q6KAJ4	MCM5
Q42600	CYP84A1
Q8VY10	UBC24
Q27802	DYH1B
Q9SZG0	HHP4
Q28J44	slc39a11
A2XMJ1	OsI_13745
O22655	PRO4
P32068	ASA1
Q6JN47	EIX1
Q9ZTW3	VAMP721
A3AWA4	HMA5
P81140	GCDH
P09342	ALS SURA
O82626	ERG
Q7Q2B7	CARM1
Q8H0T4	UPL2
Q2M329	CCDC96
Q6IDL4	At1g09580
Q94G66	RPS25
P80147	ABAT
Q4G0P3	HYDIN
F4J220	LPPE1
Q8VZB9	RPL10AA
Q9SJ81	FLA7
Q9SCP6	UGT73D1
Q9LNQ4	ALA4
P08736	eEF1alpha1
Q10DV5	ZHD11
Q2QVG9	CLPC2
Q8BK67	Rcc2
A0T0W2	psbA
Q9C5H6	UTR6
Q5JKB0	MCM4
Q9ZVH8	TFIIS
Q8VXY7	ENT1
Q9FHY8	HLB1
Q9C6B9	NMT3
Q9C6S7	At1g31850
O80492	At1g09160
F4I0N3	At1g75720
A1KIG2	BCG_1434
Q5ZA07	MKRN
Q7TNJ2	Abca7
Q925B4	Syt8
Q9CAD5	YDA
O35604	Npc1
O32472	phaJ
Q5JMK6	BZIP06
P11889	sph
Q9SA37	CHX1
A5JYX5	dhs-3
Q9LZN0	ROPGEF7
O64668	At1g08700
Q9LDU0	MTP7
Q6RT24	Cenpe
P93749	At2g41970
Q69SA9	PDIL5-4
Q02440	MYO5A
Q9SF16	CCT7
O21272	NAD10
Q03363	DNAJ1
O19094	CROT
Q4HXF6	CPR6
O94680	plh1
Q8G076	rplC
Q54LT8	strap
Q64566	Atp2c1
P34136	hmgB
O95747	OXSR1
Q9C827	At1g52360
Q5UPS7	MIMI_R240
Q9JI39	Abcb10
P06876	Myb
O19105	SLC1A5
Q9CPU4	Mgst3
Q9SB36	PCMP-E53
Q9V3P6	Rpn2
P92979	APR1
Q6FP38	DBP1
P63301	Selenow
Q8L7A0	At2g25737
Q8W119	SMH4
P31320	PKAR
Q9C9H9	PCMP-H70
Q9SJB3	AHA5
Q66LG9	CENPC
Q9M9W8	PLPZETA2
P05100	tag
Q9SV87	BRN2
X5JA13	SEC10a
Q9T043	RPL14B
Q8VY13	FRO8
P83291	CBR2
P09445	EEF2
Q9SSR1	At1g52590
E3SXU4	BHLH
F4HYJ7	At1g48650
O64792	At1g61280
Q9ZUE9	At2g06000
Q9M0I2	EXPB3
P52480	Pkm
O48844	RPN2A
P41116	rpl8
O81755	PER48
Q28EW0	tmem87a
O49323	CSLD1
Q8L607	SIN2
Q69ZN7	Myof
Q41094	FCPF
Q9M2V7	ABCG16
Q54XM6	etfdh
Q0JJV0	PIN8
Q5XEY7	PCMP-E17
Q8GXF8	SGR9
Q65DN9	ung
Q8RWL6	STY17
Q9JKR6	Hyou1
Q9FF46	ABCG28
Q9SRQ1	CYP89A9
O81645	VLN3
Q8CGC6	Rbm28
Q291H5	GA19679
P93596	CYP51
Q8L7E5	WIT1
Q68FD5	Cltc
Q9SB52	PUMP4
Q9M8X2	SNRNP48
Q9FZ33	AXR4
Q9SXY0	FAS1
Q9M2Z8	MPT2
Q93ZB7	GTE11
C5WPC2	Sb01g039230
P35402	ERD2A
P52303	Ap1b1
Q93ZJ3	NFD6
Q6DFS0	tmx2
O49627	ISU1
Q9FXM4	PGIC
Q84UI5	MPK1
Q8VZT0	At3g03920
Q9FFZ2	At5g36300
F1RAX8	coq6
F4I9E1	NFD4
A0A2R8QPS5	ric1
Q54NS8	aifB
Q5ZKD5	RRP12
O82281	BRXL1
Q9LN20	P4H3
Q8LDC8	ERF1B
P34142	rab21
Q24746	neur
P61922	Abat
Q80TJ7	Phf8
O22881	POT2
Q39433	RAB1BV
P43279	ME6
Q8VYE2	TIM50
Q9FGV1	ARF8
O34973	ytaP
O48700	PUB6
Q9Y3B1	PRELID3B
Q5A1M4	TRY3
Q8K057	Ift80
P52888	THOP1
Q000K2	SLC25A5
Q0DFT7	WRKY19
Q9SL67	RPT2B
Q9SZ30	HISN4
O48722	HO2
Q9S7E4	FDH1
Q6DK93	cnfn
Q8VZ10	SOQ1
P45732	PAL17.1
Q8JGS9	rps18
P32020	Scp2
Q8W104	FBL17
O61998	HSP90
C0LGG9	At1g53440
Q9FFN0	At5g03810
Q9ZUM2	TOM3
Q9SA27	RH36
Q84WV8	NAPRT2
Q9FT73	RECQL2
Q6ZLP5	CIPK23
O74983	spm2
P14963	TEF
P14732	LMNB2
O48666	SS1
Q0D5R3	CRK6
Q9SD34	At3g51120
Q9LDD1	BRG3
Q7ZT42	snd1
B9FTR1	KIN14M
Q9HFY6	CMD1
Q9I969	TXLNB
Q9VAT2	CG1523
Q9M2S4	LECRKS4
O22893	GOLS1
Q38997	KIN10
Q0G9G9	ndhD
Q925E7	Ppp2r2d
Q9SZ69	SAP7
Q9FI56	CLPC1
P93045	BSH
A6QQM4	ZNF474
P47832	RPL26
F4JQ95	DGK7
P80021	ATP5F1A
P28643	CLKR27
O65729	RPL18
O74916	SPCC757.05c
P61222	Abce1
Q10AZ7	GPA3
Q55DZ8	trpS
Q9AWA5	R1
A4QLL3	petG
Q04832	HEXBP
Q6AWY7	GRF2
Q5VNW5	IMCEL2
Q94B59	At5g09450
Q8Q0U0	MM_0045
Q9ZU11	ATHB-15
Q9LFH9	LECRK81
Q9SR97	At3g08990
Q6S5G3	TOC90
Q9SVM4	SHM5
Q0WKY2	CCR4-5
Q9MAM1	CIPK9
Q91W86	Vps11
P55748	2-2
P55748	CXP
Q84W56	RNJ
Q9CYW4	Hdhd3
Q89AH0	fabD
Q9FKP5	UBP17
P30153	PPP2R1A
Q32NR4	ttc29
Q9ZVL6	At1g54780
O14112	rps1001
Q9LZH9	RPL7AB
P62909	Rps3
P32069	ASA2
Q4KMJ1	chac2
Q84K00	NAC078
C8YNG6	KAT1
Q8K0H5	Taf10
P93306	NAD7
Q6EI05	GAIPB
Q550W1	captC
Q32PI5	PPP2R1A
Q9UVR2	UBC1
Q9ZUF4	RIPK
Q8L4M1	THO6
B4JXV2	Art4
Q8LED3	TBL3
C5CN82	rutD
F4HY56	RLT1
P40796	La
Q4V3D9	SSL10
Q54R58	DDB_G0283397
Q3BAK6	petD
A2WYI4	HK3
Q9SYM4	TPS1
O74452	scw1
Q53P54	6
Q53P54	PHT4
A1Y2B7	SGS3
Q9LMP7	GOS11
F4IRB4	MYB88
Q10Q08	RPA1B
Q84QC0	Os03g0264000
Q0VD42	TLCD5
Q6ZD63	FAS2
P30184	LAP1
Q9XGA0	PRS3
Q92609	TBC1D5
Q0WPU1	XI-I
Q9C5J8	OEP80
O49660	DTX56
Q58FS3	RAD
B5X561	SHA
F4KGE8	GIL1
Q944S2	GTS1
Q6S8J7	POTEA
Q84W04	At1g12390
Q66KH2	ergic3
F0KFI5	yeaW
Q9SIK7	At2g29900
P25324	TST
O65090	PFC1
P0AFR2	dauA
Q6RHR6	DMI1
Q9LN50	At1g19430
P0A9Y9	cspC
P58760	rutB
Q99070	GRP2
Q10MI0	SRL2
Q9S845	GONST3
Q9SFX2	PUB43
P46487	MDH
Q9LFU1	ASN3
F4IQV7	SCY2
Q9FKP4	KIN14B
Q8JHJ1	rpl35
F4J7T3	EAF1A
Q8GWV5	PUB3
Q93Y16	At1g27900
Q93ZM9	TIFY9
Q9CAY3	GPAT5
Q5RAM8	EAF1
Q91918	rad51-a
P0DO23	CP2
P46871	KRP95
Q9XGX7	TIM9
P49689	RPS30A
P49689	RPS30B
P49689	RPS30C
F4IF36	FGT1
Q5D018	rbm8a
O65607	MSH3
B1NWF3	ndhJ
D4B385	PEP2
Q6F3I7	dap4
Q9SD00	MSSP3
F4KH86	TAD3
Q6Z382	Os07g0201100
Q9FK05	PME61
P79251	ATP6V1G1
Q9AWM8	KIN7A
Q9MAY3	PCNA
Q94JZ8	PUX7
Q9LXD7	HAM2
P78763	SPBC83.13
Q9FNN3	ILP1
Q8GWZ6	SRR1
H9BZ66	ABCG1
C6TEX6	FEN1
O81004	EMB2001
Q6PDI5	Ecpas
Q9ZQ46	WAVH1
O80339	ERF3
Q9NYC9	DNAH9
Q19877	rps-23
A0A396JG59	EX70I
Q9LJG8	ASIL2
Q9ZPR1	CDC48B
Q9LMM0	GPAT4
Q9FFI2	ATG5
Q9FGI1	At5g58410
Q9LYJ9	RH46
Q8RUN1	ACA1
F4HTQ1	At1g67690
Q2WAT0	truA
Q9SLK6	ALA6
P49133	TPT
Q7G6K7	FH3
Q9XG77	PAA1
Q9M1D8	At3g60050
P94538	rlmP
Q9STL8	At3g48380
A9A3L9	rlmN
Q10712	LAPA1
Q9SKI4	RPA1A
Q2TXF0	oryfasA
Q05424	gna-2
Q0GZS3	USP
P46794	cysB
Q9LZU5	KIN5D
Q80SX8	Pif1
G7CFI3	egtB
Q0WPR4	SCPL34
J9W0G9	YPK1
Q8VZQ6	GCL2
Q9SPK4	PPCK1
Q9FQ19	SYN3
Q9QXL7	Nme7
A0A3Q7ELQ2	MTB1
Q9SR79	PAP16
P25093	Fah
P42698	DRT111
P34761	WHI3
Q9S816	NPC5
Q9FNI1	GIR1
Q9FIG6	DIR1
Q9S7Y7	XYL1
Q94AJ5	At1g80170
Q9I6J0	spuE
Q6ER94	BAS1
C0QI23	secA
Q9FJ98	NRPB6A
Q74E53	rlmN
Q5QQ53	oxt
Q9T020	At4g39110
Q5QMN3	Os01g0197200
Q5ZID2	PDCD2L
Q00775	WAXY
Q0PCF4	DMAS1
F4JCQ3	At3g47830
Q8GTQ9	SCOA
A0A4D6Q4T7	F3H-2
Q8GXZ3	PBL8
Q9P775	SPBC1711.16
P25439	brm
A8J1V4	CFAP44
Q9LUQ6	RPL19B
Q8KG38	glmS
Q7X8C5	WAKL2
O13853	its3
Q9FGK9	MAG5
Q8VYK6	RPS4D
F4JQZ3	REN1
F4JH53	FDM2
Q93VQ0	VCL1
Q5NAW2	Os01g0258700
Q0WVK7	At1g05670
B3R4J3	rpmI
Q92383	mag1
P27522	CAB8
F4J1Q9	AVT1I
Q09875	SPAC12G12.12
Q9CX48	Zcchc10
Q4R5Q0	RPL3
Q9SLE0	At2g16790
P26642	eef1g-a
Q84MD8	FHY
Q3KSV5	pfp
Q9SD39	At3g51070
Q8L7Q7	PME64
Q5XET4	EMB975
Q9LFA2	KIPK1
Q9LKR3	BIP1
Q6MBE8	clpX
Q93Y22	At5g05010
Q0WRW8	At3g07570
O44006	PYK
O80990	CIA1
Q4KTI3	RPL5
P13100	THYA
Q6T1F6	BMT
Q8K2F0	Brd3
Q9SAH8	NRAMP1
Q94A03	CDS4
A0A0A1H7M6	PLENTY
Q9T0D6	At4g11690
P63128	ERVK-9
Q9CA67	CHLP
Q9PD69	pip
O82197	VPS32.1
Q9SA60	At1g03100
Q9LVA7	At5g62290
Q9SQN2	At1g79710
Q9C7E8	COL15
Q6EVK6	BRM
P62979	RPS27A
O74970	prp39
Q9SR15	At3g04600
Q9S7H4	CM2
Q32KW2	UBXN1
Q9FMV7	CYP94B1
Q8BST6	Peli2
P27514	PHO91
Q2YDM7	LSG1
Q7XBQ9	RGA2
Q6EPN8	FACE1
P52175	NME1-2
Q9SDS7	VHA-C
Q8LPL8	POT13
Q567Y6	ift22
Q8L7S6	HEXO3
Q9LXU9	IRKI
Q54VA2	fumH
Q9FI03	NHL26
Q5APF2	GUA1
Q8R059	Gale
Q9ZT91	TUFA
Q9C5U1	AHK3
Q9FME0	RPA1D
Q9FGQ7	CYCD3-2
Q9CQ79	Txndc9
Q658G7	SIK1
Q9VBX1	Clbn
Q90703	NOS2
Q5AG40	VPS4
P50944	AVT4
Q84X53	MTERF1
Q96X45	cot-3
P14574	COIII
Q9SIL6	PHB6
Q9LIL5	At3g15200
F4ILR7	At2g35920
Q9FJG9	RUG3
Q15KI9	PHYLLO
Q67ZE1	3BETAHSD/D2
Q93W28	At4g15545
Q9SI03	MTP12
Q6A333	ALY2
A4FVI0	zswim7
Q54WR9	glnA3
Q96MR6	CFAP57
Q9VSA3	Mcad
Q7KVW5	SK
Q23711	ZW
Q10MN6	Os03g0301700
Q9FH97	EPS1
P39692	MET10
Q9FND8	At5g40400
C0LGP4	At3g47570
Q9LRP2	At3g17430
Q9PTY0	ATP5F1B
O22928	At2g30320
Q681X4	ZAT5
Q8LPS1	LACS6
B2ZXD5	GPR89
O82226	CNGC6
Q7XZF5	RST1
O65201	ACX2
Q8LFD3	ATHB-23
Q9SIH1	CYP18-2
Q0G9M0	psaB
Q9HF97	cof1
Q96GN5	CDCA7L
Q9H3K2	GHITM
Q948K8	RABG3A
Q9SSF9	At1g74750
A4YGN0	Msed_1424
F4IDS7	VPS18
Q8WZY7	apg-6
Q9VV87	Baldspot
Q0WPN0	SOV
O22704	CB5LP
Q3TDQ1	Stt3b
Q4QRC6	isca1
Q9ULD4	BRPF3
Q6GP04	mon2
Q8JIY8	nifk
A7SKE9	v1g171563
Q473Q9	ureC
Q63120	Abcc2
Q54BC8	psmB5
A2ZMH2	NEK2
Q7XJ98	MUR3
Q7T2B9	mtpn
Q9C9B2	ARP4A
A0A078ISJ6	TIC32B
O65567	At4g30825
Q8S983	ARF11
Q55EA1	zntD
Q8RWR1	JMJ30
Q9C720	TMN6
Q8BY79	Slc35g1
Q924D0	Rtn4ip1
M1BJF6	JOKA2
Q5Z922	Os06g0560000
Q7N788	clpB
A5CCL4	tuf2
Q54UG4	rpl37A
P55313	CATA
P57709	ATP2C1
Q5JK39	Os01g0928800
P46284	CSBP
A6MMX0	psbB
Q39214	RPM1
A7HSR8	acsA
Q84ZN6	CESA8
P33611	Pola2
Q93YV6	B'KAPPA
Q9M3A3	ABIL2
Q61IU3	vha-14
Q84JH9	TBL25
Q9W5Y0	Nep3
Q8W4K1	At4g04670
Q9FM85	PBL16
Q7XQ88	STT3B
Q62267	Sprr1b
Q6S7B0	TAF5
A8HYU5	METM
O82497	DGP2
F4JJL0	ENDO4
Q9M3B1	WSD6
Q9D3U0	Pus10
F4JHN2	IQD17
P43061	ARG4
Q94IW5	CYP90D2
Q9STY5	PMEI11
P13466	abpC
A0A059TC02	CCR1
Q505J9	Atad1
Q9SE51	SURF1
P26784	RPL16A
Q67YS6	ALIS2
Q6DKG0	Naa35
Q9W040	Oseg2
Q7XSQ9	PIP1-2
Q6K431	TRX1
A0A1P8ASY1	JHS1
Q9LSD5	TCP20
Q3L181	PR
P53154	GUP1
Q9M8R7	PPC6-1
Q10LJ2	MTP2
Q9ZSY2	ATJ15
P42856	ZBP14
D4AZ24	ARB_01444
Q9LXT9	CALS3
Q946Y7	SYP61
Q9DB20	Atp5po
Q9SEZ6	At2g25100
Q08972	NEW1
Q9LWU9	DLT
Q08BH7	ube2t
Q66GP4	At5g13770
P17078	Rpl35
Q9FNA9	PDAT1
B9FFA3	KIN7E
Q9SFB0	DTX43
Q6AU07	DBR1
Q9SIL5	PCMP-E78
Q8S8S2	LPEAT2
Q8GUK4	SBT3.13
Q38833	CHLG
Q9C9P4	KAS2
Q9C6S1	FH14
Q6ZIK5	GRF4
A7UL74	CTF7
Q9SAJ7	MTP9
Q9C7C1	TET6
Q9NYG2	ZDHHC3
Q6YXZ7	PRMT5
Q9SUK9	At4g16580
Q8S8Y8	WNK6
A8WQ43	rpl-11.1
Q9STF9	THA8L
O23310	NFYB3
Q9LK48	BHLH77
C8KI33	SUV2
Q9FSB8	CHS2
O22213	CKX1
B4L0G9	dbo
Q4WED9	xanB
Q9SI54	LSM7
Q87EL1	argC
F4JF21	PTAC10
A0A1J6KGJ9	JAR4
Q2S1W0	hemE
P0DJ19	RPL27
P11179	DLST
Q8LAC4	URH2
Q9M8L9	AVT6E
Q5W274	PDR3
P31674	RPS15
Q95LA1	FMO3
Q9SB51	UBP16
P90702	rpl-44
Q898Q9	hppA
Q29122	MYO6
Q6ZKL8	Os08g0500300
Q9FX35	At1g73400
Q03683	BIP3
O82201	At2g19790
A1A1I4	rlmN
Q9FXA4	PUB26
P54243	PGIC
Q54CR8	mobB
Q9FKL2	MYB36
Q9LT69	PGDH3
P49460	psbA
Q8VY74	SNRNP35
Q9C9I2	ERF021
B7PRF6	IscW_ISCW007295
Q99L28	Rsl24d1
Q9VUQ8	CG7427
Q9S850	SOX
Q0J9X2	ROC2
Q9CQU8	Immp1l
Q93ZE5	FAHD1
Q9ZUH3	PUP5
D0TZF0	ISA1
Q9SCP7	NANMT1
Q8H1G3	MTPC4
Q0IXP9	Os10g0415600
Q41140	PFP-ALPHA
Q8LBW2	OTU9
Q9C8Y2	CAR2
Q8BGF9	Slc25a44
P24821	TNC
Q5M9G0	Dctd
Q4R6V2	CCT5
Q9LFF1	MEE40
Q9FN15	CGLD27
O80505	At2g44660
Q93WI9	HD3A
O23491	PCMP-E12
Q9SYH2	TAF9
Q5SVZ6	ZMYM1
Q0E2Z7	Os02g0201900
Q9FMW3	OFUT37
Q41351	RBCS
Q8S8P3	GLCAT14C
Q8VYF7	WHY2
A3KGB4	Tbc1d8b
Q05024	TRI1
P51798	CLCN7
Q9FWW9	At1g12200
P24007	RBCS
Q9SIY7	PRA1B2
F4JTS8	NOV
Q9FGQ6	EB1C
Q94B77	FH5
Q96AZ1	EEF1AKMT3
Q46845	yghU
Q9ZVP5	MAPKKK18
P25822	pum
Q9C5J6	IPT9
Q9M658	MOM1
K4D3U9	CPT4
Q8L9G7	At2g31440
O80674	BHLH106
O80834	AHL9
Q8LE47	PPR336
Q9LYK2	NRT2.7
Q9XI21	At1g15480
Q5XUX6	RMI1
Q9SRH9	SNL1
Q1PFB9	AGC1-7
Q6H8D5	Os02g0209100
Q8TC41	RNF217
Q9SX73	At1g48405
A0A1P8B760	At4g34880
B6F107	HD6
P47772	rps13
Q7SHQ1	cys-12
Q0DRX6	CWZF3
P44391	ureC
Q54JC8	purL
Q9CAN1	RBL2
P11857	TUBB1
P11857	TUBB2
O65731	RPS5
Q54G07	slmo
Q54N83	leuS
P26360	ATPC
F4K1G2	At5g35930
Q5PPR6	cyb5d1
O80866	ORP1A
Q42942	PYR5-6
Q8LNU5	Os10g0495500
D2XV59	Gtpbp1
Q6AU53	CSLC9
D9HP26	CNR10
Q6INC1	ttc21b
F4J8G2	RLP33
Q5RC69	DCTD
Q08DS7	AP2B1
Q3EDL4	At1g01540
D9UBX6	RTM2
F4IVL6	GRV2
Q9SHS7	BSL3
Q9XIH7	PLT1
O02649	Hsp60A
Q9SII5	EXL5
Q5R2J2	GAPDH
A9TND9	CYN
Q9C5J4	At3g22104
Q837V0	EF_0728
P74442	slr0143
Q9MAC5	PTB
O75351	VPS4B
Q90YQ0	rps24
Q9SQK3	EMB506
P38681	nit-6
Q8L3R2	CML41
Q6UJY2	Slc9c1
Q54VA8	fsjA
Q9SY07	At4g02820
Q9FN30	At5g53970
Q9MAM4	IQD18
Q5SN53	MPK8
Q9ZR37	DSPTP1
Q940R4	At4g16563
Q5JTY5	ZNG1C
Q2QM77	PID
Q53WJ1	JMJ703
O23305	At4g14490
Q8GV05	TRY
Q9FGP9	RER1
K7VYZ9	COAC1
Q39086	SD17
P33280	aga-1
Q9LJ87	CDC73
Q8BX70	Vps13c
Q8H157	NPF4.6
O04866	AG118
C0LGE4	At1g12460
O80340	ERF4
Q4FK66	Prpf38a
Q2SU54	rplQ
P0DO03	DJA8
Q7SDV9	ccp-1
P32252	rasB
A7SWD3	v1g247787
Q9C7T4	BHLH96
Q9M5K2	LPD2
Q0J7U6	TPR2
Q8L539	5FCL
Q9LHJ8	SAP5
Q8RXQ1	TBL35
Q7SIA2	EPRS1
O64777	At1g61430
Q6CF02	ALG14
P30366	TOPP1
Q98972	acta1
Q7X8R0	EAT1
Q6K9U2	RPA2A
B3LF48	EHD2
F4I907	GLYR2
Q32P44	EML3
Q0WT48	ERDJ2A
Q6ZJX0	FIE2
F4I718	CSI3
A4IIC5	slc39a3
K4BW79	EO
Q54HP3	drg1
P18101	RpL40
Q6K5K2	Os02g0598200
Q9LK43	TMK4
Q9SKB3	PARG1
Q9GRX6	aif
Q9FLH8	At5g51830
Q01474	SAR1B
Q62559	Ift52
P31924	SUS1
Q9SCX9	DHAPRD
Q9FMU2	At5g14080
F4KEY9	NAA25
P08792	RPL25
P29610	CYCL
Q89BP9	engB
P17094	ARP1
Q9IA79	tmbim6
Q5BPM6	QWRF6
Q9FVR6	At1g32220
Q9P4Z1	B11B22.010
Q8LE59	IRT3
Q94KB1	MLO14
Q6PBM8	rbm18
P49688	RPS2C
Q5U211	Snx3
Q8GYE8	NSUN5
Q54YS0	DDB_G0278111
O49255	NAC029
Q9FW70	KIN7K
Q9I8D1	MYO6
Q10MX1	Os03g0292100
Q0P4D1	amn1
Q9ZRI7	Os02g0220600
Q54SE2	DDB_G0282517
Q5Z8P2	Os06g0717400
Q9FNN5	At5g08530
P54797	Tango2
A0A0S1TQ04	CYP71BE52
Q9FYC8	At3g44820
Q9ZUU4	CP29B
P13192	PSAF
O74402	hsp78
F4HQ84	COG3
Q2HJN8	eft-2
P52572	PER1
F4IQJ2	ELP5
Q67XX3	JMJ22
P38811	TRA1
G5ECU1	skr-1
P01104	V-MYB
Q9M5Q1	FT1
Q6GQT9	Nomo1
O62703	CTNNBL1
P00110	petJ
P22945	niaD
Q9SZV5	SBT2.6
Q4W9R7	mcd4
Q9SZD1	TCX5
Q9SA72	At1g30570
Q9SP02	CYP20-1
Q9FIU5	CRLK1
Q8BRH0	Tmtc3
Q8W4P9	TT9
Q9LD61	PYRB
P20648	ATP4A
O22285	At2g39750
Q9UI26	IPO11
Q39160	XI-1
Q96033	RPS12
Q9SD53	At3g47200
Q8TDD5	MCOLN3
Q09092	SRK6
Q75EG6	ISN1
Q9FKM3	At5g57480
Q9MAH1	TTL1
Q9ZU91	At2g01630
Q32KY6	DCTPP1
Q9SZ11	GDPDL3
Q336N8	JMJ706
Q8W4D4	BAGP1
Q9SAJ5	At1g79540
Q8VYD3	SNRNP59
C0SPB2	ywtG
A8KBE0	oxr1
Q9FZ19	At1g02420
O22781	SUVH2
O23627	At1g29880
Q54VI3	glud2
Q5E924	GAPCP2
Q9LK36	SAHH2
Q8GYC1	IDD4
Q9AR74	CYP73A2
Q04835	YMR253C
Q42797	CYP73A11
Q3ITP9	rpiA
B9VVJ6	CK1.2
Q8L836	MAP65-7
O54992	Mapkapk5
Q9KNT4	ppc
Q63570	Psmc4
Q75HB1	IRT1
Q8H0Z6	IP5P3
O23653	AK2
Q9M2G7	LPPD
E1BYJ2	MSH6
Q05935	mybl1
Q39024	MPK4
Q9FGN7	SCC4
Q39224	SRG1
Q9LK10	CLSY4
Q75GI4	ITPK3 OsIPK1?? (OsMIK)
Q9STQ2	SBT3.18
Q5VSB7	Os06g0143000
A8MRC7	B3GALT2
P04988	cprA
Q9ZRT1	GR1
Q6MEG4	rsmH
Q2USI0	bst1
Q84P54	GABA-TP1
Q7XJE6	AMC1
Q8VI75	Ipo4
Q0WW26	At4g34450
O04200	PXN
Q8RX77	NPF2.13
Q92005	eef1a
Q8W496	PTC52
P39377	iadA
Q9NY33	DPP3
Q9SIG8	BZIP30
Q9VW26	Oat
F4IDY7	DDR4
Q940Z1	At1g19525
P47943	tif1
Q9M2T9	OVA1
P0A5F6	BQ2027_MB1866C
B9K8S7	argG
Q39017	DGK1
Q4P580	NPC2
P30405	PPIF
Q6QAP7	RPS17
Q4AE11	CHI1
Q54IH8	ndrB
P49250	maoA
Q7T3N2	rpl15
Q9M038	SFC1
Q9SRS9	CHIP
B6TGN4	MTERF4
A5CAL1	2KGR
Q8VZE4	At4g01570
Q9SI62	PPRD2
Q8GYM3	AUG4
Q9LV09	BOB1
A4RGD1	RRP3
Q54TM2	DDB_G0281669
Q9LVU1	PVA21
P51157	RAB28
P29388	ND5
Q55GE6	roco7
Q9FZ06	KINUA
B6ZJZ9	PNC1
A7RP64	pno1
Q7UJ69	ilvD
Q9VHD2	GstZ2
Q13435	SF3B2
F4JLC1	MRL7
Q8K582	Dus1l
Q8RX55	GALT5
P27766	ODA6
Q86W25	NLRP13
Q2V452	CIPK3
Q9FGU8	COPT3
B3DNN5	APC6
Q9M7Q7	PCNA
Q90YP2	rps29
O14776	TCERG1
P14249	RPS24
P0C7Q7	At1g12700
Q8VWF6	SSL3
Q2QQ96	CYCA2-1
Q9LEX1	CLB
Q9SSQ4	FRS6
Q9SXB8	At1g11330
Q9M9S4	At1g14390
O81908	At1g02060
Q23894	cprC
Q8IYB3	SRRM1
Q9XS41	SOD2
P51788	CLCN2
Q8W595	SUVR4
P41777	Nolc1
F4JI46	ROPGAP2
Q9C8R8	NMAT1
Q69L19	CSLC2
Q52B63	CWC22
B5RTE0	CMC4
Q6R8G7	H3
Q6R8G7	PHO1
O24357	G6PD
Q19020	dhc-1
Q7XJL2	GLR3.1
P0C7Q9	At1g22960
Q8VEM8	Slc25a3
P59468	LBD24
Q8GXF0	RAD51C
F4JN00	At4g35335
F4I248	At1g69450
Q9LDG2	TBL10
Q29RV1	PDIA4
Q9M302	At3g48810
Q5F3L1	RPS6KA5
Q8GYA6	RPN9B
Q9SDQ3	SCL1
Q9LFI1	PCMP-E86
Q8CG07	Wrnip1
Q9NZJ4	SACS
Q6XBF8	CDR1
Q9SCL7	NAGK
Q9FFR3	PGD3
Q9XT54	PDE6D
Q9Y4A5	TRRAP
Q54MV7	ndufa12
Q54DS8	sec13
Q9FK68	RABA1C
Q8H2J9	Os07g0229800
Q6NUT3	MFSD12
O80386	CIP7
Q944C1	PLC4
P28344	acuE
Q9SV68	CEQORH
Q9SA69	At1g03010
P54766	RAN1B
O04539	SNL4
Q9M069	At4g34480
Q641F1	ublcp1
Q9XEA0	EMB2369
Q9SZL6	MTERF6
Q9FL28	FLS2
Q5XF07	APE1L
P35505	Fah
Q8BMA6	Srp68
Q9M316	At3g61520
Q9KWA3	acsA
O04197	COI1
Q6Q151	CYP59
Q9LRP1	NPSN13
P56941	NPC1
O64815	At2g23060
O23553	BAM3
P79781	RPS27A
P05201	Got1
Q9LXF8	AVT1J
P50668	COI
P39017	rps6
Q8L8M9	IQD33
O22261	NDT1
Q9WX37	rbpE
Q9FG39	At5g06050
Q8L7J2	BGLU6
Q6YXH8	CYCD4-1
Q9DE27	ruvbl2
Q9GCB9	RPS2
Q60E60	Os05g0388400
Q9FLT0	TSN2
Q3EAQ5	ZIFL2
Q9LN71	At1g12760
Q62240	Kdm5d
Q9PWF7	cat
Q93XI4	CPA
Q9VHV5	Arl8
Q60525	Wrap53
Q8VZ59	YUC6
A3CCP9	Os11g0586001
Q8T664	abcH2
O48520	POLD2
P33198	IDH2
Q9S709	U2AF35A
O05000	ND2
Q9FLE8	At5g39865
Q8Z1T1	dusA
Q9I2V5	acnB
Q9LPZ9	SD113
W8W138	BACE
Q8XH32	rsmG
Q9SY60	EXO84C
Q84J46	EMB2076
Q9LFE4	At5g16730
Q9SUH5	AUG8
Q70EK9	USP51
Q9M667	RPP13
F4I241	BUB3.3
F4I6M4	TOR1L1
Q9S810	RABA1I
Q10NY2	TPR3
Q84JF5	PTAC14
Q9SMY8	FBL15
